2017	Rumble	Carlos Alonso	4.9	Me gustó mucho y disfruté viéndola	https.//palomitas.com/películas/carlos_alonso/rumble_2017
2004	Godzilla: Final Wars	Carlos Alonso	5.3	Me gustó mucho y disfruté viéndola	https.//palomitas.com/películas/carlos_alonso/godzilla:_final_wars_2004
2019	Iberion	Phill Freeman	4.1	Me gustó mucho y disfruté viéndola	https.//forummovies.org/reviews/phill_freeman/iberion_2019
2009	Secret	Phill Freeman	5.5	Una buena película de acción y suspense	https.//forummovies.org/reviews/phill_freeman/secret_2009
2011	Atlas Shrugged: Part I	Phill Freeman	4.6	Me gustó mucho y disfruté viéndola	https.//forummovies.org/reviews/phill_freeman/atlas_shrugged:_part_i_2011
2020	Illegal Woman	Paul Pendergast	5.2	Me gustó mucho y disfruté viéndola	https.//forummovies.org/reviews/paul_pendergast/illegal_woman_2020
2021	Spiked	Phill Freeman	4.1	Me gustó mucho y disfruté viéndola	https.//forummovies.org/reviews/phill_freeman/spiked_2021
2020	Crestone	Paul Pendergast	5.0	Me gustó mucho y disfruté viéndola	https.//forummovies.org/reviews/paul_pendergast/crestone_2020
2009	Creation	Phill Freeman	5.6	Una buena película para ver con tu pareja	https.//forummovies.org/reviews/phill_freeman/creation_2009
2020	Valley Girl	Paul Pendergast	5.4	Una buena película para ver con tu pareja	https.//forummovies.org/reviews/paul_pendergast/valley_girl_2020
2017	The Institute	Carlos Alonso	3.2	Una película aburrida	https.//palomitas.com/películas/carlos_alonso/the_institute_2017
1986	Chronicle of Amorous Accidents	Paula Lago	5.7	Me gustó mucho y disfruté viéndola	https.//cinemanía.com/paula/paula_lago/chronicle_of_amorous_accidents_1986
1975	Death Brings Roses	Claire Johnson	2.7	Una película aburrida	https.//forummovies.org/reviews/claire_johnson/death_brings_roses_1975
1970	Yakuza Masterpiece	Paul Pendergast	5.7	Me gustó mucho y disfruté viéndola	https.//forummovies.org/reviews/paul_pendergast/yakuza_masterpiece_1970
1988	The Diamond Trap	Paula Lago	4.1	Me gustó mucho y disfruté viéndola	https.//cinemanía.com/paula/paula_lago/the_diamond_trap_1988
2017	Look to the Sky	Carlos Alonso	5.4	Me gustó mucho y disfruté viéndola	https.//palomitas.com/películas/carlos_alonso/look_to_the_sky_2017
2019	Peanuts in Space: Secrets of Apollo 10	Phill Freeman	5.5	Me gustó mucho y disfruté viéndola	https.//forummovies.org/reviews/phill_freeman/peanuts_in_space:_secrets_of_apollo_10_2019
2009	Mega Shark vs. Giant Octopus	Phill Freeman	1.5	Una película aburrida	https.//forummovies.org/reviews/phill_freeman/mega_shark_vs._giant_octopus_2009
2012	A Dark Truth	Luisa Molina	4.6	Me gustó mucho y disfruté viéndola	https.//foro_pelis.es/luisam/luisa_molina/a_dark_truth_2012
2021	Doors	Phill Freeman	2.6	Una película aburrida	https.//forummovies.org/reviews/phill_freeman/doors_2021
1969	Red Pomegranate	Phill Freeman	6.6	Película entretenida para pasar el rato	https.//forummovies.org/reviews/phill_freeman/red_pomegranate_1969
2013	Ip Man: The Final Fight	Oscar Gutiérrez	5.1	Me gustó mucho y disfruté viéndola	https.//palomitas.com/películas/oscar_gutiérrez/ip_man:_the_final_fight_2013
1973	Emperor of the North	Fermín Álvarez	6.2	Película entretenida para pasar el rato	https.//forummovies.org/reviews/fermín_álvarez/emperor_of_the_north_1973
1989	The Weirdo	Phill Freeman	3.7	Una película aburrida	https.//forummovies.org/reviews/phill_freeman/the_weirdo_1989
1958	Dunkirk	Paula Lago	6.1	Película entretenida para pasar el rato	https.//cinemanía.com/paula/paula_lago/dunkirk_1958
2019	The Killer Downstairs	Phill Freeman	4.2	Me gustó mucho y disfruté viéndola	https.//forummovies.org/reviews/phill_freeman/the_killer_downstairs_2019
2019	The Giant	Phill Freeman	5.7	Me gustó mucho y disfruté viéndola	https.//forummovies.org/reviews/phill_freeman/the_giant_2019
2019	Dead End	Phill Freeman	5.6	Me gustó mucho y disfruté viéndola	https.//forummovies.org/reviews/phill_freeman/dead_end_2019
